year,county_name,state_name,NIPR,PCTUI,PCTIC,PCTELIG,PCTLIIC
2021,Lafayette County                             ,Florida                                                               ,598,35.6,64.4,9.9,18.0
2021,Okeechobee County                            ,Florida                                                               ,15787,24.0,76.0,12.9,40.9
2021,Gadsden County                               ,Florida                                                               ,5192,18.0,82.0,13.1,59.9
2021,Polk County                                  ,Florida                                                               ,82183,34.4,65.6,14.4,27.4
2021,Leon County                                  ,Florida                                                               ,84968,12.1,87.9,12.1,87.9
2021,Washington County                            ,Florida                                                               ,7309,16.7,83.3,13.3,66.4
2021,Brevard County                               ,Florida                                                               ,32802,17.9,82.1,8.7,39.8
2021,Washington County                            ,Florida                                                               ,9837,20.0,80.0,10.7,42.8
2021,Citrus County                                ,Florida                                                               ,17795,23.0,77.0,10.4,34.8
2021,Duval County                                 ,Florida                                                               ,94991,29.8,70.2,10.1,23.9
2021,Martin County                                ,Florida                                                               ,4447,39.4,60.6,7.1,11.0
2021,                                             ,Florida                                                               ,2330165,18.4,81.6,6.9,30.4
2021,Broward County                               ,Florida                                                               ,74698,18.7,81.3,7.1,30.9
2021,Lake County                                  ,Florida                                                               ,17066,23.7,76.3,6.4,20.5
2021,Baker County                                 ,Florida                                                               ,3659,8.0,92.0,4.1,47.7
2021,                                             ,Florida                                                               ,999237,19.5,80.5,15.0,61.8
2021,                                             ,Florida                                                               ,3768903,21.1,78.9,13.1,49.0
2021,Hendry County                                ,Florida                                                               ,18035,35.2,64.8,27.0,49.7
2021,Duval County                                 ,Florida                                                               ,190162,16.9,83.1,7.6,37.6
2021,Manatee County                               ,Florida                                                               ,29777,31.1,68.9,8.5,18.9
2021,                                             ,Florida                                                               ,924075,28.3,71.7,10.3,26.1
2021,Hardee County                                ,Florida                                                               ,522,25.5,74.5,6.3,18.4
2021,Monroe County                                ,Florida                                                               ,7167,33.1,66.9,10.5,21.2
2021,Wakulla County                               ,Florida                                                               ,3307,20.7,79.3,7.1,27.3
2021,Bay County                                   ,Florida                                                               ,30759,27.8,72.2,16.8,43.8
2021,Okeechobee County                            ,Florida                                                               ,5760,19.0,81.0,19.0,81.0
2021,Duval County                                 ,Florida                                                               ,162423,25.2,74.8,14.6,43.5
2021,                                             ,Florida                                                               ,4174,34.0,66.0,10.1,19.6
2021,Charlotte County                             ,Florida                                                               ,10175,28.8,71.2,5.2,12.9
2021,Escambia County                              ,Florida                                                               ,53596,28.0,72.0,8.7,22.2
2021,Citrus County                                ,Florida                                                               ,4487,30.2,69.8,6.0,13.8
2021,Hamilton County                              ,Florida                                                               ,352,15.6,84.4,4.7,25.2
2021,Hendry County                                ,Florida                                                               ,18004,27.5,72.5,27.5,72.5
2021,Lee County                                   ,Florida                                                               ,47566,22.1,77.9,9.0,31.6
2021,                                             ,Florida                                                               ,5003,36.6,63.4,7.9,13.6
2021,Hardee County                                ,Florida                                                               ,931,20.0,80.0,9.3,37.4
2021,Hernando County                              ,Florida                                                               ,20098,25.7,74.3,9.2,26.7
2021,Highlands County                             ,Florida                                                               ,65239,19.1,80.9,19.1,80.9
2021,Lee County                                   ,Florida                                                               ,39979,30.1,69.9,5.7,13.1
2021,Citrus County                                ,Florida                                                               ,5593,25.9,74.1,5.7,16.2
2021,Pasco County                                 ,Florida                                                               ,84830,30.6,69.4,8.2,18.6
2021,Okaloosa County                              ,Florida                                                               ,16236,26.9,73.1,7.3,19.9
2021,Taylor County                                ,Florida                                                               ,2721,20.4,79.6,10.5,41.0
2021,Taylor County                                ,Florida                                                               ,4015,16.0,84.0,8.8,46.0
2021,Suwannee County                              ,Florida                                                               ,9883,20.9,79.1,6.4,24.1
2021,Pasco County                                 ,Florida                                                               ,8550,29.8,70.2,4.4,10.5
2021,Madison County                               ,Florida                                                               ,1450,14.8,85.2,6.2,35.5
2021,St. Lucie County                             ,Florida                                                               ,55567,8.1,91.9,6.4,73.5
2021,Jackson County                               ,Florida                                                               ,1865,13.6,86.4,6.1,38.9
2021,St. Lucie County                             ,Florida                                                               ,107926,16.1,83.9,16.1,83.9
2021,Flagler County                               ,Florida                                                               ,6963,17.3,82.7,6.5,31.2
2021,Franklin County                              ,Florida                                                               ,1227,15.8,84.2,15.8,84.2
2021,Hamilton County                              ,Florida                                                               ,1187,7.3,92.7,3.3,41.4
2021,St. Johns County                             ,Florida                                                               ,17787,28.1,71.9,4.3,11.0
2021,Sarasota County                              ,Florida                                                               ,26735,17.3,82.7,6.4,30.5
2021,Lake County                                  ,Florida                                                               ,60457,17.6,82.4,7.3,34.2
2021,Lee County                                   ,Florida                                                               ,38476,23.2,76.8,5.6,18.5
2021,                                             ,Florida                                                               ,278435,21.8,78.2,4.7,17.0
2021,Franklin County                              ,Florida                                                               ,549,26.8,73.2,8.1,22.2
2021,Union County                                 ,Florida                                                               ,1376,14.5,85.5,6.9,40.8
2021,Hamilton County                              ,Florida                                                               ,921,27.5,72.5,8.1,21.3
2021,Hamilton County                              ,Florida                                                               ,2755,18.8,81.2,14.2,61.0
2021,Lafayette County                             ,Florida                                                               ,2023,24.5,75.5,8.6,26.6
2021,Osceola County                               ,Florida                                                               ,116330,19.7,80.3,9.8,39.9
2021,Marion County                                ,Florida                                                               ,15980,28.4,71.6,8.6,21.8
2021,St. Johns County                             ,Florida                                                               ,21337,18.8,81.2,6.4,27.8
2021,                                             ,Florida                                                               ,1641,29.3,70.7,6.7,16.3
2021,Liberty County                               ,Florida                                                               ,712,8.3,91.7,4.4,49.0
2021,Putnam County                                ,Florida                                                               ,11868,17.6,82.4,17.6,82.4
2021,                                             ,Florida                                                               ,121710,11.3,88.7,11.3,88.7
2021,Taylor County                                ,Florida                                                               ,2650,15.6,84.4,6.9,37.5
2021,Glades County                                ,Florida                                                               ,1514,24.4,75.6,16.7,51.7
2021,Putnam County                                ,Florida                                                               ,8775,20.6,79.4,15.2,58.7
2021,Manatee County                               ,Florida                                                               ,15320,40.1,59.9,5.7,8.5
2021,Nassau County                                ,Florida                                                               ,36438,10.3,89.7,10.3,89.7
2021,Dixie County                                 ,Florida                                                               ,1308,14.4,85.6,11.0,65.2
2021,Polk County                                  ,Florida                                                               ,230823,22.0,78.0,8.6,30.7
2021,Nassau County                                ,Florida                                                               ,5374,20.9,79.1,3.1,11.7
2021,Walton County                                ,Florida                                                               ,14051,12.3,87.7,12.3,87.7
2021,                                             ,Florida                                                               ,5685,28.8,71.2,17.6,43.5
2021,Glades County                                ,Florida                                                               ,2066,30.0,70.0,22.4,52.1
2021,Martin County                                ,Florida                                                               ,16922,20.9,79.1,7.0,26.5
2021,Nassau County                                ,Florida                                                               ,12525,22.4,77.6,10.6,36.6
2022,Flagler County                                                        ,Florida                                                               ,13818,12.9,87.1,5.4,36.5
2022,Hamilton County                                                       ,Florida                                                               ,911,16.7,83.3,12.7,63.3
2022,Liberty County                                                        ,Florida                                                               ,456,20.8,79.2,9.6,36.5
2022,Orange County                                                         ,Florida                                                               ,86431,23.7,76.3,4.6,15.0
2022,Glades County                                                         ,Florida                                                               ,1414,31.8,68.2,11.9,25.5
2022,Brevard County                                                        ,Florida                                                               ,361344,12.9,87.1,12.9,87.1
2022,Lee County                                                            ,Florida                                                               ,80197,26.3,73.7,9.6,26.9
2022,Monroe County                                                         ,Florida                                                               ,2945,22.3,77.7,4.6,15.9
2022,Madison County                                                        ,Florida                                                               ,2802,22.4,77.6,10.1,34.9
2022,Bradford County                                                       ,Florida                                                               ,2158,14.1,85.9,6.3,38.2
2022,Hernando County                                                       ,Florida                                                               ,113073,16.3,83.7,16.3,83.7
2022,Okaloosa County                                                       ,Florida                                                               ,65650,19.3,80.7,7.1,29.7
2022,Putnam County                                                         ,Florida                                                               ,13237,22.6,77.4,11.0,37.6
2022,Calhoun County                                                        ,Florida                                                               ,2712,18.1,81.9,13.0,58.8
2022,Clay County                                                           ,Florida                                                               ,8333,11.5,88.5,4.1,31.6
2022,Madison County                                                        ,Florida                                                               ,4345,19.2,80.8,8.9,37.2
2022,                                                                      ,Florida                                                               ,31222,29.6,70.4,7.2,17.1
2022,Broward County                                                        ,Florida                                                               ,98175,25.7,74.3,7.8,22.5
2022,DeSoto County                                                         ,Florida                                                               ,6594,26.2,73.8,13.1,36.9
2022,Clay County                                                           ,Florida                                                               ,16027,18.4,81.6,4.5,20.2
2022,Indian River County                                                   ,Florida                                                               ,17671,16.5,83.5,6.8,34.5
2022,St. Johns County                                                      ,Florida                                                               ,30883,8.9,91.1,3.9,39.9
2022,Glades County                                                         ,Florida                                                               ,3764,33.1,66.9,23.4,47.2
2022,Franklin County                                                       ,Florida                                                               ,831,27.7,72.3,5.9,15.3
2022,Madison County                                                        ,Florida                                                               ,2621,24.9,75.1,7.2,21.8
2022,Calhoun County                                                        ,Florida                                                               ,2778,9.3,90.7,9.3,90.7
2022,Alachua County                                                        ,Florida                                                               ,9329,20.6,79.4,9.9,38.0
2022,Alachua County                                                        ,Florida                                                               ,75732,11.2,88.8,7.5,59.8
2022,Hamilton County                                                       ,Florida                                                               ,646,18.1,81.9,9.8,44.1
2022,Manatee County                                                        ,Florida                                                               ,7477,41.1,58.9,4.7,6.8
2022,St. Lucie County                                                      ,Florida                                                               ,29228,15.0,85.0,6.2,34.9
2022,Duval County                                                          ,Florida                                                               ,41282,29.7,70.3,4.3,10.2
2022,Flagler County                                                        ,Florida                                                               ,4429,14.3,85.7,4.8,28.6
2022,Taylor County                                                         ,Florida                                                               ,2254,18.5,81.5,7.8,34.5
2022,Hardee County                                                         ,Florida                                                               ,1942,26.6,73.4,8.7,24.0
2022,Clay County                                                           ,Florida                                                               ,57050,11.7,88.3,7.1,54.0
2022,Liberty County                                                        ,Florida                                                               ,402,30.3,69.7,6.7,15.5
2022,Hernando County                                                       ,Florida                                                               ,25437,15.2,84.8,7.0,39.3
2022,Jefferson County                                                      ,Florida                                                               ,7364,16.9,83.1,16.9,83.1
2022,Brevard County                                                        ,Florida                                                               ,145430,16.2,83.8,6.5,33.7
2022,Levy County                                                           ,Florida                                                               ,6752,17.4,82.6,8.1,38.5
2022,Flagler County                                                        ,Florida                                                               ,35946,19.0,81.0,10.8,45.9
2022,Duval County                                                          ,Florida                                                               ,179999,16.9,83.1,7.4,36.3
2022,                                                                      ,Florida                                                               ,599086,23.3,76.7,3.9,12.8
2022,Union County                                                          ,Florida                                                               ,649,15.3,84.7,3.3,18.5
2022,Bradford County                                                       ,Florida                                                               ,3177,16.4,83.6,10.7,54.8
